Preferred Label,Aggregate Label,status,reason,evidence,group_id,in_country_preferred,declared_waves,source_rows,country_crosswalk_targets,delivered_waves
Margarine,Margarine,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2016-17,1991-92/Code_9b: 33.0; 1991-92/Label_9b: Margarine; 1998-99/Code_9b: 33.0; 1998-99/Label_9b: Margarine; 2016-17/Code_9b: 421.0; 2016-17/Label_9b: Margarine,Margarine,1991-92; 1998-99; 2016-17
Margarine/Butter,Margarine/Butter,singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89; 2005-06; 2012-13,"1987-88/Code_12A: 331; 1987-88/Label_12A: Butter, margarine; 1988-89/Code_12A: 331; 1988-89/Label_12A: Butter, margarine; 2005-06/Code_9b: 63.0; 2005-06/Label_9b: margarine/butter; 2012-13/Code_9b: 63.0; 2012-13/Label_9b: margarine/butter",Margarine/Butter,1987-88; 1988-89; 2005-06; 2012-13
Milk (evaporated),Milk (evaporated/condensed),draft_merge,"Tinned milk forms. The second member is the country Preferred Label (#937 wrote the leaked wave spelling ""Milk (tinned, condensed)"").",PR #937 additional_candidates.yml: tinned_milk_forms (member re-keyed),tinned_milk_forms,True,2005-06; 2012-13; 2016-17,"2005-06/Code_9b: 47.0; 2005-06/Label_9b: tinned milk (unsweetened,evaporated); 2012-13/Code_9b: 47.0; 2012-13/Label_9b: tinned milk (unsweetened,evaporated); 2016-17/Code_9b: 301.0, 302.0, 303.0, 304.0, 305.0, 306.0, 558.0; 2016-17/Label_9b: Carnation, Ideal, Nunu, Other milk, Peak, Vega",Milk (evaporated),2005-06; 2012-13; 2016-17
Milk (fresh),Milk (fresh),singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,"1991-92/Code_9b: 66.0; 1991-92/Label_9b: Fresh milk; 1991-92/Code_8h: 71.0; 1991-92/Label_8h: Milk; 1998-99/Code_9b: 66.0; 1998-99/Label_9b: Fresh milk; 1998-99/Code_8h: 71.0; 1998-99/Label_8h: Milk; 2005-06/Code_9b: 44.0; 2005-06/Label_9b: milk (fresh); 2005-06/Code_8h: 81.0; 2005-06/Label_8h: milk (fresh); 2012-13/Code_9b: 44.0; 2012-13/Label_9b: milk (fresh); 2012-13/Code_8h: 81.0; 2012-13/Label_8h: milk (fresh); 2016-17/Code_9b: 197.0, 557.0; 2016-17/Label_9b: Country milk, Milk (Fresh); 2016-17/Code_8h: 81.0; 2016-17/Label_8h: 81. Milk (fresh)",Milk (fresh),1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Milk (powder),Milk (powder),singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99,1991-92/Code_9b: 67.0; 1991-92/Label_9b: Milk powder; 1998-99/Code_9b: 67.0; 1998-99/Label_9b: Milk powder,Milk (powder),1991-92; 1998-99; 2005-06; 2012-13; 2016-17
"Milk (tinned, condensed/unsweetened)",Milk (evaporated/condensed),draft_merge,"Tinned milk forms. The second member is the country Preferred Label (#937 wrote the leaked wave spelling ""Milk (tinned, condensed)"").",PR #937 additional_candidates.yml: tinned_milk_forms (member re-keyed),tinned_milk_forms,True,,,,1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Millet,Millet/Sorghum,draft_merge,"GLSS1/2 code 303 is ""Millet, guinea corn or sorghua (grain or flour)"": one question over millet grain, millet flour and sorghum (= guinea corn). From GLSS3 the instrument asks the three separately (#935 ruling, @ligon 2026-09-16). The 2016-17 constituents are the gate.","GhanaLSS/1987-88/_/categorical_mapping.org:139 (code 303); GhanaLSS/2016-17/_/categorical_mapping.org:27-33 (codes 27, 30, 31); slurm_logs/ghanalss_aggregate_labels/LANDED.org: Still open item 1 and item 5",millet_sorghum,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1991-92/Code_9b: 3.0; 1991-92/Label_9b: Millet; 1991-92/Code_8h: 5.0; 1991-92/Label_8h: Millet grain; 1998-99/Code_9b: 3.0; 1998-99/Label_9b: Millet; 1998-99/Code_8h: 5.0; 1998-99/Label_8h: Millet grain; 2005-06/Code_9b: 3.0; 2005-06/Label_9b: millet; 2005-06/Code_8h: 5.0; 2005-06/Label_8h: millet grain; 2012-13/Code_9b: 3.0; 2012-13/Label_9b: millet; 2012-13/Code_8h: 5.0; 2012-13/Label_8h: millet grain; 2016-17/Code_9b: 30.0; 2016-17/Label_9b: Millet; 2016-17/Code_8h: 5.0; 2016-17/Label_8h: 5. Millet grain,Millet,1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Millet (flour),Millet/Sorghum,draft_merge,"GLSS1/2 code 303 is ""Millet, guinea corn or sorghua (grain or flour)"": one question over millet grain, millet flour and sorghum (= guinea corn). From GLSS3 the instrument asks the three separately (#935 ruling, @ligon 2026-09-16). The 2016-17 constituents are the gate.","GhanaLSS/1987-88/_/categorical_mapping.org:139 (code 303); GhanaLSS/2016-17/_/categorical_mapping.org:27-33 (codes 27, 30, 31); slurm_logs/ghanalss_aggregate_labels/LANDED.org: Still open item 1 and item 5",millet_sorghum,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1991-92/Code_8h: 6.0; 1991-92/Label_8h: Millet flour; 1998-99/Code_8h: 6.0; 1998-99/Label_8h: Millet flour; 2005-06/Code_8h: 6.0; 2005-06/Label_8h: millet flour; 2012-13/Code_8h: 6.0; 2012-13/Label_8h: millet flour; 2016-17/Code_9b: 31.0; 2016-17/Label_9b: Millet flour; 2016-17/Code_8h: 6.0; 2016-17/Label_8h: 6. Millet flour,Millet (flour),1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Millet/Sorghum,Millet/Sorghum,draft_merge,"GLSS1/2 code 303 is ""Millet, guinea corn or sorghua (grain or flour)"": one question over millet grain, millet flour and sorghum (= guinea corn). From GLSS3 the instrument asks the three separately (#935 ruling, @ligon 2026-09-16). The 2016-17 constituents are the gate.","GhanaLSS/1987-88/_/categorical_mapping.org:139 (code 303); GhanaLSS/2016-17/_/categorical_mapping.org:27-33 (codes 27, 30, 31); slurm_logs/ghanalss_aggregate_labels/LANDED.org: Still open item 1 and item 5",millet_sorghum,True,1987-88; 1988-89,"1987-88/Code_12A: 303; 1987-88/Label_12A: Millet, guinea corn or sorghua (grain or flour); 1987-88/Code_12B: 303.0; 1987-88/Label_12B: Millet, guinea corn or sorghua (grain or flour); 1988-89/Code_12A: 303; 1988-89/Label_12A: Millet, guinea corn or sorghua (grain or flour); 1988-89/Code_12B: 303.0; 1988-89/Label_12B: Millet, guinea corn or sorghua (grain or flour)",Millet/Sorghum,1987-88; 1988-89
Mutton,Goat/Mutton,draft_merge,"#935 split Mutton out of Goat because the instrument lists them separately in 1991-92..2016-17 (GLSS1/2 have only mutton). Two species; the candidate exists so the split is a decision, not an omission.",slurm_logs/ghanalss_aggregate_labels/LANDED.org: Mutton split out of Goat,goat_mutton,True,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1987-88/Code_12A: 324; 1987-88/Label_12A: Mutton; 1987-88/Code_12B: 324.0; 1987-88/Label_12B: Mutton; 1988-89/Code_12A: 324; 1988-89/Label_12A: Mutton; 1988-89/Code_12B: 324.0; 1988-89/Label_12B: Mutton; 1991-92/Code_9b: 56.0; 1991-92/Label_9b: Fresh Mutton; 1991-92/Code_8h: 64.0; 1991-92/Label_8h: Mutton; 1998-99/Code_8h: 64.0; 1998-99/Label_8h: Mutton; 2005-06/Code_9b: 22.0; 2005-06/Label_9b: mutton; 2005-06/Code_8h: 64.0; 2005-06/Label_8h: mutton; 2012-13/Code_9b: 22.0; 2012-13/Label_9b: mutton; 2012-13/Code_8h: 64.0; 2012-13/Label_8h: mutton; 2016-17/Code_9b: 115.0; 2016-17/Label_9b: mutton mixed cut; 2016-17/Code_8h: 68.0; 2016-17/Label_8h: 68. Mutton,Mutton,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Oil (coconut),Oil (coconut),singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1991-92/Code_9b: 28.0; 1991-92/Label_9b: Coconut oil; 1991-92/Code_8h: 27.0; 1991-92/Label_8h: Coconuts oil; 1998-99/Code_9b: 28.0; 1998-99/Label_9b: Coconut oil; 1998-99/Code_8h: 27.0; 1998-99/Label_8h: Coconuts oil; 2005-06/Code_9b: 58.0; 2005-06/Label_9b: coconut oil; 2005-06/Code_8h: 30.0; 2005-06/Label_8h: coconut oil; 2012-13/Code_9b: 58.0; 2012-13/Label_9b: coconut oil; 2012-13/Code_8h: 30.0; 2012-13/Label_8h: coconut oil; 2016-17/Code_9b: 422.0; 2016-17/Label_9b: Coconut oil; 2016-17/Code_8h: 30.0; 2016-17/Label_8h: 30. Coconut oil,Oil (coconut),1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Oil (groundnut),Oil (groundnut),singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1991-92/Code_9b: 29.0; 1991-92/Label_9b: Groundnut oil; 1998-99/Code_9b: 29.0; 1998-99/Label_9b: Groundnut oil; 2005-06/Code_9b: 59.0; 2005-06/Label_9b: groundnut oil; 2005-06/Code_8h: 31.0; 2005-06/Label_8h: groundnut oil; 2012-13/Code_9b: 59.0; 2012-13/Label_9b: groundnut oil; 2012-13/Code_8h: 31.0; 2012-13/Label_8h: groundnut oil; 2016-17/Code_9b: 423.0; 2016-17/Label_9b: Groundnut oil; 2016-17/Code_8h: 31.0; 2016-17/Label_8h: 31. Groundnut oil,Oil (groundnut),1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Oil (palm kernel),Oil (palm kernel),singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1991-92/Code_9b: 30.0; 1991-92/Label_9b: Palm kernel oil; 1991-92/Code_8h: 21.0; 1991-92/Label_8h: Palm Oil; 1998-99/Code_9b: 30.0; 1998-99/Label_9b: Palm kernel oil; 1998-99/Code_8h: 21.0; 1998-99/Label_8h: Palm Oil; 2005-06/Code_9b: 60.0; 2005-06/Label_9b: palm kernel oil; 2005-06/Code_8h: 29.0; 2005-06/Label_8h: palm kernel oil; 2012-13/Code_9b: 60.0; 2012-13/Label_9b: palm kernel oil; 2012-13/Code_8h: 29.0; 2012-13/Label_8h: palm kernel oil; 2016-17/Code_9b: 427.0; 2016-17/Label_9b: Palm kernel oil; 2016-17/Code_8h: 29.0; 2016-17/Label_8h: 29. Palm Kernel oil,Oil (palm kernel),1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Oil (palm),Oil (palm)/Shea Butter,draft_merge,"GLSS1/2 code 329 is ""Palm oil and shea butter""; from GLSS3 Shea Butter is its own (large, northern) item. #935 notes north/south consumption differs sharply, which is what the gate tests.",slurm_logs/ghanalss_aggregate_labels/LANDED.org: Still open item 6,palm_shea,True,2005-06; 2012-13; 2016-17,2005-06/Code_9b: 61.0; 2005-06/Label_9b: palm oil; 2005-06/Code_8h: 28.0; 2005-06/Label_8h: palm oil; 2012-13/Code_9b: 61.0; 2012-13/Label_9b: palm oil; 2012-13/Code_8h: 28.0; 2012-13/Label_8h: palm oil; 2016-17/Code_9b: 424.0; 2016-17/Label_9b: Palm oil (red oil); 2016-17/Code_8h: 28.0; 2016-17/Label_8h: 28. Palm oil,Oil (palm),1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Oil (palm)/Shea Butter,Oil (palm)/Shea Butter,draft_merge,"GLSS1/2 code 329 is ""Palm oil and shea butter""; from GLSS3 Shea Butter is its own (large, northern) item. #935 notes north/south consumption differs sharply, which is what the gate tests.",slurm_logs/ghanalss_aggregate_labels/LANDED.org: Still open item 6,palm_shea,True,1987-88; 1988-89,1987-88/Code_12A: 329; 1987-88/Label_12A: Palm oil and shea butter; 1987-88/Code_12B: 329.0; 1987-88/Label_12B: Palm oil and shea butter; 1988-89/Code_12A: 329; 1988-89/Label_12A: Palm oil and shea butter; 1988-89/Code_12B: 329.0; 1988-89/Label_12B: Palm oil and shea butter,Oil (palm)/Shea Butter,1987-88; 1988-89
Oil (vegetable),Oil (vegetable),singleton,No merge proposed at this stage.,,,True,2016-17,"2016-17/Code_9b: 425.0; 2016-17/Label_9b: Vegetable oil (eg. Frytol, Gino, Obaapa)",Oil (vegetable),2016-17
Okra,Okra,singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1987-88/Code_12A: 348; 1987-88/Label_12A: Okro; 1987-88/Code_12B: 348.0; 1987-88/Label_12B: Okro; 1988-89/Code_12A: 348; 1988-89/Label_12A: Okro; 1988-89/Code_12B: 348.0; 1988-89/Label_12B: Okro; 1991-92/Code_9b: 45.0; 1991-92/Label_9b: Okro; 1991-92/Code_8h: 43.0; 1991-92/Label_8h: Okra; 1998-99/Code_8h: 43.0; 1998-99/Label_8h: Okro; 2005-06/Code_9b: 82.0; 2005-06/Label_9b: okoro; 2005-06/Code_8h: 53.0; 2005-06/Label_8h: okro; 2012-13/Code_9b: 82.0; 2012-13/Label_9b: okoro; 2012-13/Code_8h: 53.0; 2012-13/Label_8h: okro; 2016-17/Code_9b: 457.0; 2016-17/Label_9b: Okro (fresh); 2016-17/Code_8h: 53.0; 2016-17/Label_8h: 53. Okro,Okra,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Onion,Onion,singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1987-88/Code_12A: 346; 1987-88/Label_12A: Onions; 1987-88/Code_12B: 346.0; 1987-88/Label_12B: Onions; 1988-89/Code_12A: 346; 1988-89/Label_12A: Onions; 1988-89/Code_12B: 346.0; 1988-89/Label_12B: Onions; 1991-92/Code_9b: 46.0; 1991-92/Label_9b: Onions and Shallot; 1991-92/Code_8h: 41.0; 1991-92/Label_8h: Onions; 1998-99/Code_8h: 41.0; 1998-99/Label_8h: Onions; 2005-06/Code_9b: 85.0; 2005-06/Label_9b: onions (large/small); 2005-06/Code_8h: 51.0; 2005-06/Label_8h: onions; 2012-13/Code_9b: 85.0; 2012-13/Label_9b: onions (large/small); 2012-13/Code_8h: 51.0; 2012-13/Label_8h: onions; 2016-17/Code_9b: 461.0; 2016-17/Label_9b: Onions (large); 2016-17/Code_8h: 51.0; 2016-17/Label_8h: 51. Onions,Onion,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Orange,Orange,singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17,"1987-88/Code_12A: 332; 1987-88/Label_12A: Oranges, tangerines; 1987-88/Code_12B: 332.0; 1987-88/Label_12B: Oranges, tangerines; 1988-89/Code_12A: 332; 1988-89/Label_12A: Oranges, tangerines; 1988-89/Code_12B: 332.0; 1988-89/Label_12B: Oranges, tangerines; 1991-92/Code_9b: 38.0; 1991-92/Label_9b: Orange; 1991-92/Code_8h: 32.0; 1991-92/Label_8h: Oranges, tangerine; 1998-99/Code_9b: 38.0; 1998-99/Label_9b: Orange; 1998-99/Code_8h: 32.0; 1998-99/Label_8h: Oranges, tangerine; 2005-06/Code_9b: 70.0; 2005-06/Label_9b: orange/tangerine; 2005-06/Code_8h: 42.0; 2005-06/Label_8h: oranges,tangerine; 2012-13/Code_9b: 70.0; 2012-13/Label_9b: orange/tangerine; 2012-13/Code_8h: 42.0; 2012-13/Label_8h: oranges,tangerine; 2016-17/Code_9b: 435.0; 2016-17/Label_9b: Oranges; 2016-17/Code_8h: 42.0; 2016-17/Label_8h: 42. Oranges,tangerine",Orange,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Other Alcoholic Beverages,Other Alcoholic Beverages,singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1987-88/Code_12A: 341; 1987-88/Label_12A: Alcoholic beverages; 1987-88/Code_12B: 341.0; 1987-88/Label_12B: Home made alcoholic beverages; 1988-89/Code_12A: 341; 1988-89/Label_12A: Alcoholic beverages; 1988-89/Code_12B: 341.0; 1988-89/Label_12B: Home made alcoholic beverages; 1991-92/Code_9b: 104.0; 1991-92/Label_9b: Other Alcoholic Beverages; 1991-92/Code_8h: 90.0; 1991-92/Label_8h: Alcoholic beverages; 1998-99/Code_9b: 104.0; 1998-99/Label_9b: Other Alcoholic Beverages; 1998-99/Code_8h: 90.0; 1998-99/Label_8h: Alcoholic beverages; 2005-06/Code_8h: 91.0; 2005-06/Label_8h: alchoholic beverages; 2012-13/Code_8h: 91.0; 2012-13/Label_8h: alcoholic beverages; 2016-17/Code_8h: 91.0; 2016-17/Label_8h: 91. Alcoholic beverages,Other Alcoholic Beverages,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2016-17
Other Beverages,Other Beverages,singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1987-88/Code_12A: 342; 1987-88/Label_12A: Non-alcoholic beverages; 1987-88/Code_12B: 342.0; 1987-88/Label_12B: Home made non-alcoholic beverages; 1988-89/Code_12A: 342; 1988-89/Label_12A: Non-alcoholic beverages; 1988-89/Code_12B: 342.0; 1988-89/Label_12B: Home made non-alcoholic beverages; 1991-92/Code_8h: 91.0; 1991-92/Label_8h: Non-alcoholic beverages; 1998-99/Code_8h: 91.0; 1998-99/Label_8h: Non-alcoholic beverages; 2005-06/Code_9b: 132.0; 2005-06/Label_9b: other beverage drinks; 2005-06/Code_8h: 92.0; 2005-06/Label_8h: non-alchoholic beverages; 2012-13/Code_9b: 132.0; 2012-13/Label_9b: other beverage drinks; 2012-13/Code_8h: 92.0; 2012-13/Label_8h: non-alcoholic beverages; 2016-17/Code_9b: 561.0; 2016-17/Label_9b: Other beverage drinks; 2016-17/Code_8h: 92.0; 2016-17/Label_8h: 92. Non-alcoholic beverages,Other Beverages,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Other Canned Vegetables,Other Canned Vegetables,singleton,No merge proposed at this stage.,,,True,1991-92,1991-92/Code_9b: 51.0; 1991-92/Label_9b: Other Canned Vegetables,Other Canned Vegetables,1991-92
Other Cereal,Other Cereal,singleton,No merge proposed at this stage.,,,True,2005-06; 2012-13; 2016-17,"2005-06/Code_9b: 14.0, 6.0; 2005-06/Label_9b: other cereal products, other cereals; 2012-13/Code_9b: 14.0, 15.0, 6.0; 2012-13/Label_9b: other cereal products, other cereals, processing of cereals; 2016-17/Code_9b: 89.0; 2016-17/Label_9b: Other cereal products",Other Cereal,2005-06; 2012-13; 2016-17
Other Condiments & Spices,Other Condiments & Spices,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99,1991-92/Code_9b: 81.0; 1991-92/Label_9b: Other Condiments & Spices; 1998-99/Code_9b: 81.0; 1998-99/Label_9b: Other Condiments & Spices,Other Condiments & Spices,1991-92; 1998-99
Other Confectioneries,Other Confectioneries,singleton,No merge proposed at this stage.,,,True,2005-06; 2012-13,2005-06/Code_9b: 96.0; 2005-06/Label_9b: other confectioneries; 2012-13/Code_9b: 96.0; 2012-13/Label_9b: other confectioneries,Other Confectioneries,2005-06; 2012-13
Other Domestic Poultry,Other Domestic Poultry,singleton,No merge proposed at this stage.,,,True,2005-06; 2012-13; 2016-17,2005-06/Code_9b: 28.0; 2005-06/Label_9b: other domestic poultry; 2005-06/Code_8h: 61.0; 2005-06/Label_8h: other domestic poultry; 2012-13/Code_9b: 28.0; 2012-13/Label_9b: other domestic poultry; 2012-13/Code_8h: 61.0; 2012-13/Label_8h: other domestic poultry; 2016-17/Code_8h: 65.0; 2016-17/Label_8h: 65. Other Domestic Poultry,Other Domestic Poultry,2005-06; 2012-13; 2016-17
Other Drinks,Other Drinks,singleton,No merge proposed at this stage.,,,True,,,,1991-92; 1998-99
Other Eggs,Other Eggs,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99,1991-92/Code_9b: 65.0; 1991-92/Label_9b: Other eggs (not chicken); 1998-99/Code_9b: 65.0; 1998-99/Label_9b: Other eggs (not chicken),Other Eggs,1991-92; 1998-99
Other Fish,Other Fish,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1991-92/Code_9b: 77.0; 1991-92/Label_9b: Other fish; 1998-99/Code_9b: 77.0; 1998-99/Label_9b: Other fish; 2005-06/Code_9b: 40.0; 2005-06/Label_9b: other fish; 2005-06/Code_8h: 69.0; 2005-06/Label_8h: fish and shellfish; 2012-13/Code_9b: 40.0; 2012-13/Label_9b: other fish; 2012-13/Code_8h: 69.0; 2012-13/Label_8h: fish and shellfish; 2016-17/Code_9b: 161.0; 2016-17/Label_9b: Other fish; 2016-17/Code_8h: 73.0; 2016-17/Label_8h: 73. Fish and shellfish,Other Fish,1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Other Flours,Other Flours,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1991-92/Code_9b: 8.0; 1991-92/Label_9b: Flour and other cereal products; 1991-92/Code_8h: 9.0; 1991-92/Label_8h: Other flours; 1998-99/Code_9b: 8.0; 1998-99/Label_9b: Flour and other cereal products; 1998-99/Code_8h: 9.0; 1998-99/Label_8h: Other flours; 2005-06/Code_9b: 125.0; 2005-06/Label_9b: other processed starchy staples; 2005-06/Code_8h: 9.0; 2005-06/Label_8h: other flours; 2012-13/Code_9b: 125.0; 2012-13/Label_9b: other processed starchy staples; 2012-13/Code_8h: 9.0; 2012-13/Label_8h: other flours; 2016-17/Code_8h: 9.0; 2016-17/Label_8h: 9. Other flours,Other Flours,1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Other Fruits,Other Fruits,singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1987-88/Code_12A: 338; 1987-88/Label_12A: Other fruit; 1987-88/Code_12B: 338.0; 1987-88/Label_12B: Other fruit; 1988-89/Code_12A: 338; 1988-89/Label_12A: Other fruit; 1988-89/Code_12B: 338.0; 1988-89/Label_12B: Other fruit; 1991-92/Code_9b: 40.0; 1991-92/Label_9b: Other fruits (not canned); 1991-92/Code_8h: 37.0; 1991-92/Label_8h: Other fruits; 1998-99/Code_9b: 40.0; 1998-99/Label_9b: Other fruits (not canned); 1998-99/Code_8h: 37.0; 1998-99/Label_8h: Other fruits; 2005-06/Code_9b: 76.0; 2005-06/Label_9b: other fruits not canned; 2005-06/Code_8h: 47.0; 2005-06/Label_8h: other fruits; 2012-13/Code_9b: 76.0; 2012-13/Label_9b: other fruits not canned; 2012-13/Code_8h: 47.0; 2012-13/Label_8h: other fruits; 2016-17/Code_9b: 446.0; 2016-17/Label_9b: Other fruits; 2016-17/Code_8h: 47.0; 2016-17/Label_8h: 47. Other fruits,Other Fruits,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Other Grains,Other Grains,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1991-92/Code_8h: 8.0; 1991-92/Label_8h: Other grains; 1998-99/Code_8h: 8.0; 1998-99/Label_8h: Other grains; 2005-06/Code_8h: 8.0; 2005-06/Label_8h: other grains; 2012-13/Code_8h: 8.0; 2012-13/Label_8h: other grains; 2016-17/Code_8h: 8.0; 2016-17/Label_8h: 8. Other grains,Other Grains,1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Other Leafy Vegetables,Other Leafy Vegetables,singleton,No merge proposed at this stage.,,,True,,,,1987-88; 1988-89; 2005-06; 2012-13; 2016-17
Other Meat,Other Meat,singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17,"1987-88/Code_12A: 326, 327; 1987-88/Label_12A: Bushmeat and game birds, Other domesticated meat; 1987-88/Code_12B: 326.0, 327.0; 1987-88/Label_12B: Bushmeat and game birds, Other domesticated meat; 1988-89/Code_12A: 326, 327; 1988-89/Label_12A: Bushmeat and game birds, Other domesticated meat; 1988-89/Code_12B: 326.0, 327.0; 1988-89/Label_12B: Bushmeat and game birds, Other domesticated meat; 1991-92/Code_9b: 54.0, 59.0; 1991-92/Label_9b: Bushmeat, Other Meat (except Poultry); 1991-92/Code_8h: 62.0, 67.0, 68.0; 1991-92/Label_8h: Game birds, Other Domestic meat, Wild game; 1998-99/Code_8h: 62.0, 67.0, 68.0; 1998-99/Label_8h: Game birds, Other Domestic meat, Wild game; 2005-06/Code_9b: 23.0, 24.0, 29.0; 2005-06/Label_9b: bushmeat/wild game, game birds, other meat (dog, cat,etc.); 2005-06/Code_8h: 62.0, 67.0, 68.0; 2005-06/Label_8h: game birds, other domestic meat, wild game; 2012-13/Code_9b: 23.0, 24.0, 29.0; 2012-13/Label_9b: bushmeat/wild game, game birds, other meat (dog, cat,etc.); 2012-13/Code_8h: 62.0, 67.0, 68.0; 2012-13/Label_8h: game birds, other domestic meat, wild game; 2016-17/Code_9b: 142.0, 143.0, 144.0; 2016-17/Label_9b: Bushmeat (Grasscutter), Game birds, Other meat (dog, cat, etc.); 2016-17/Code_8h: 66.0, 71.0, 72.0; 2016-17/Label_8h: 66. Game birds, 71. Other Domestic Meat, 72. Wild game",Other Meat,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Other Milk Products,Other Milk Products,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,"1991-92/Code_9b: 70.0; 1991-92/Label_9b: Other milk products (Including butter & cheese); 1998-99/Code_9b: 70.0; 1998-99/Label_9b: Other milk products (Including butter & cheese); 2005-06/Code_9b: 49.0; 2005-06/Label_9b: other milk products including cheese; 2012-13/Code_9b: 49.0; 2012-13/Label_9b: other milk products including cheese; 2016-17/Code_9b: 409.0, 410.0; 2016-17/Label_9b: Fan Choco, FanDango",Other Milk Products,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Other Miscellaneous Food Items,Other Miscellaneous Food Items,singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89; 1991-92; 1998-99,1987-88/Code_12A: 361; 1987-88/Label_12A: Other foods; 1987-88/Code_12B: 360.0; 1987-88/Label_12B: Other foods; 1988-89/Code_12A: 361; 1988-89/Label_12A: Other foods; 1988-89/Code_12B: 360.0; 1988-89/Label_12B: Other foods; 1991-92/Code_9b: 97.0; 1991-92/Label_9b: Other Miscellaneous Food Items; 1998-99/Code_9b: 97.0; 1998-99/Label_9b: Other Miscellaneous Food Items,Other Miscellaneous Food Items,1987-88; 1988-89; 1991-92; 1998-99
Other Nuts/Seeds,Other Nuts/Seeds,singleton,No merge proposed at this stage.,,,True,,,,2012-13; 2016-17
Other Oil Seeds,Other Oil Seeds,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99,"1991-92/Code_9b: 26.0; 1991-92/Label_9b: Other oil seeds and nuts; 1991-92/Code_8h: 28.0; 1991-92/Label_8h: Other nuts, & Seeds; 1998-99/Code_9b: 26.0; 1998-99/Label_9b: Other oil seeds and nuts; 1998-99/Code_8h: 29.0; 1998-99/Label_8h: Other nuts, & Seeds",Other Oil Seeds,1991-92; 1998-99
